Loại câu hỏi,Metric,Flat RAG,GraphRAG,Nhận xét phân tích
cross-doc,Comprehensiveness,3.364,3.227,Hai phương pháp gần nhau.
cross-doc,Faithfulness,3.818,3.682,Hai phương pháp gần nhau.
cross-doc,Multi-hop reasoning,3.364,3.227,Hai phương pháp gần nhau.
cross-doc,Latency (s),1.844,1.998,Flat RAG thường rẻ/nhanh hơn.
cross-doc,Token usage,641.636,755.136,Flat RAG thường rẻ/nhanh hơn.
factoid,Comprehensiveness,4.8,5.0,Hai phương pháp gần nhau.
factoid,Faithfulness,5.0,5.0,Hai phương pháp gần nhau.
factoid,Multi-hop reasoning,4.8,5.0,Hai phương pháp gần nhau.
factoid,Latency (s),1.429,1.254,GraphRAG không đắt hơn trong sample này.
factoid,Token usage,591.6,710.2,Flat RAG thường rẻ/nhanh hơn.
multi-hop,Comprehensiveness,3.174,3.087,Hai phương pháp gần nhau.
multi-hop,Faithfulness,3.435,3.478,Hai phương pháp gần nhau.
multi-hop,Multi-hop reasoning,3.174,3.087,Hai phương pháp gần nhau.
multi-hop,Latency (s),2.653,3.247,Flat RAG thường rẻ/nhanh hơn.
multi-hop,Token usage,696.174,873.609,Flat RAG thường rẻ/nhanh hơn.
